time,temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco
2022-04-23 14:00:00,60.8,59.0,94.0,,,140.0,11.8,,1001.0,,
2022-04-23 15:00:00,64.4,59.2,83.0,,,140.0,13.7,,1000.0,,
2022-04-23 16:00:00,69.8,57.0,64.0,,,140.0,17.4,,999.0,,
2022-04-23 17:00:00,71.6,57.4,61.0,,,150.0,20.5,,998.0,,
2022-04-23 18:00:00,69.8,57.0,64.0,,,160.0,25.5,,999.0,,
2022-04-23 19:00:00,69.8,57.0,64.0,,,150.0,17.4,,998.0,,
2022-04-23 20:00:00,71.6,57.4,61.0,,,150.0,17.4,,998.0,,
2022-04-23 21:00:00,75.2,57.4,54.0,,,150.0,16.2,,997.0,,
2022-04-23 22:00:00,75.2,55.2,50.0,,,170.0,20.5,,996.0,,
2022-04-23 23:00:00,73.4,55.2,53.0,,,150.0,20.5,,995.0,,
2022-04-24 00:00:00,62.6,57.4,83.0,,,180.0,23.0,,996.0,,
2022-04-24 01:00:00,60.8,53.6,77.0,,,140.0,16.2,,996.0,,
2022-04-24 02:00:00,60.8,53.6,77.0,,,160.0,12.4,,997.0,,
2022-04-24 03:00:00,59.0,51.8,77.0,,,160.0,14.9,,996.0,,
2022-04-24 04:00:00,59.0,53.6,82.0,,,170.0,14.9,,996.0,,
2022-04-24 05:00:00,55.4,35.4,47.0,0.0,,220.0,17.4,,997.0,,
2022-04-24 06:00:00,51.8,30.0,43.0,0.0,,220.0,14.9,,998.0,,
2022-04-24 07:00:00,48.2,28.4,46.0,0.0,,210.0,12.4,,998.0,,
2022-04-24 08:00:00,46.4,30.2,53.0,0.0,,200.0,12.4,,998.0,,
2022-04-24 09:00:00,46.4,30.2,53.0,0.0,,200.0,18.6,,998.0,,
2022-04-24 10:00:00,46.4,33.6,61.0,0.0,,180.0,17.4,,997.0,,
2022-04-24 11:00:00,46.4,33.6,61.0,0.0,,190.0,20.5,,997.0,,
2022-04-24 12:00:00,46.4,33.6,61.0,0.0,,200.0,23.0,,997.0,,
2022-04-24 13:00:00,46.4,33.6,61.0,0.0,,210.0,23.0,,998.0,,
2022-04-24 14:00:00,46.4,33.6,61.0,0.0,,210.0,23.0,,998.0,,
2022-04-24 15:00:00,46.4,33.6,61.0,0.0,,210.0,23.0,,999.0,,
2022-04-24 16:00:00,44.6,37.6,76.0,0.0,,210.0,23.0,,1000.0,,
