time,prcp
1997-08-19 10:00:00,0.071
1997-08-19 11:00:00,0.169
1997-08-19 12:00:00,0.201
1997-08-19 13:00:00,0.071
1997-08-19 14:00:00,0.012
1997-08-19 15:00:00,0.201
1997-08-19 16:00:00,0.39
1997-08-19 17:00:00,0.591
1997-08-19 18:00:00,0.28
1997-08-19 19:00:00,0.209
1997-08-19 20:00:00,0.079
1997-08-19 21:00:00,0.098
1997-08-19 22:00:00,0.24
1997-08-19 23:00:00,0.02
1997-08-20 00:00:00,0.24
1997-08-20 01:00:00,0.142
1997-08-20 02:00:00,0.079
1997-08-20 03:00:00,0.012
1997-08-20 04:00:00,0.059
1997-08-20 05:00:00,0.02
