event_id,percent_duration,percent_cumulative_rainfall
51,0.0,1.49
51,20.0,19.63
51,40.0,44.83
51,60.0,94.93
51,80.0,100.0
51,100.0,100.0
175,0.0,4.84
175,16.67,38.25
175,33.33,51.96
175,50.0,53.7
175,66.67,80.94
175,83.33,100.0
175,100.0,100.0
416,0.0,9.21
416,11.11,22.86
416,22.22,25.69
416,33.33,46.75
416,44.44,62.95
416,55.56,72.46
416,66.67,97.17
416,77.78,98.48
416,88.89,100.0
416,100.0,100.0
1262,0.0,9.64
1262,20.0,34.11
1262,40.0,71.25
1262,60.0,91.87
1262,80.0,100.0
1262,100.0,100.0
1336,0.0,4.56
1336,14.29,23.28
1336,28.57,46.47
1336,42.86,70.01
1336,57.14,78.48
1336,71.43,94.31
1336,85.71,100.0
1336,100.0,100.0
1730,0.0,4.08
1730,16.67,47.62
1730,33.33,77.26
1730,50.0,93.47
1730,66.67,96.86
1730,83.33,99.59
1730,100.0,100.0
1897,0.0,28.95
1897,11.11,49.25
1897,22.22,49.25
1897,33.33,67.59
1897,44.44,70.62
1897,55.56,75.34
1897,66.67,83.99
1897,77.78,92.65
1897,88.89,99.33
1897,100.0,100.0
1961,0.0,3.42
1961,11.11,40.5
1961,22.22,46.82
1961,33.33,50.76
1961,44.44,58.95
1961,55.56,72.42
1961,66.67,92.95
1961,77.78,97.92
1961,88.89,100.0
1961,100.0,100.0
1962,0.0,23.19
1962,16.67,50.08
1962,33.33,75.79
1962,50.0,80.59
1962,66.67,91.5
1962,83.33,100.0
1962,100.0,100.0
2309,0.0,7.12
2309,11.11,13.32
2309,22.22,42.63
2309,33.33,50.93
2309,44.44,75.59
2309,55.56,76.18
2309,66.67,96.97
2309,77.78,98.49
2309,88.89,100.0
2309,100.0,100.0
2648,0.0,2.23
2648,5.26,7.54
2648,10.53,13.85
2648,15.79,16.08
2648,21.05,16.46
2648,26.32,22.77
2648,31.58,35.02
2648,36.84,53.58
2648,42.11,62.37
2648,47.37,68.94
2648,52.63,71.42
2648,57.89,74.5
2648,63.16,82.04
2648,68.42,82.66
2648,73.68,90.2
2648,78.95,94.66
2648,84.21,97.14
2648,89.47,97.52
2648,94.74,99.37
2648,100.0,100.0
2970,0.0,2.41
2970,8.33,4.15
2970,16.67,6.84
2970,25.0,8.16
2970,33.33,21.16
2970,41.67,38.57
2970,50.0,41.9
2970,58.33,47.65
2970,66.67,70.41
2970,75.0,85.41
2970,83.33,93.16
2970,91.67,99.59
2970,100.0,100.0
3746,0.0,14.6
3746,11.11,15.25
3746,22.22,46.11
3746,33.33,47.12
3746,44.44,50.7
3746,55.56,58.76
3746,66.67,94.86
3746,77.78,95.12
3746,88.89,100.0
3746,100.0,100.0
